method,variant,crop_fraction,policy,held_out,threshold,train_eff_acc,test_eff_acc,test_acc,n_decided,abstain_pct
kmeans,,1.0,track_majority,clip_3,0.5031,0.7428,0.7099,0.7128,745,0.4
kmeans,,1.0,window_weighted,clip_1,0.5015,0.7203,0.5693,0.5693,137,0.0
kmeans,,1.0,window_weighted,clip_2,0.5014,0.6881,0.7452,0.7452,314,0.0
kmeans,,1.0,window_weighted,clip_3,0.5031,0.6918,0.7086,0.7114,745,0.4
embedding,,1.0,none,clip_1,0.5005,0.5264,0.562,0.562,137,0.0
embedding,,1.0,none,clip_2,0.5007,0.5379,0.5064,0.5064,314,0.0
embedding,,1.0,none,clip_3,0.5005,0.5233,0.5348,0.5355,747,0.1
embedding,,1.0,memoise_reset,clip_1,0.5005,0.6055,0.6277,0.6277,137,0.0
embedding,,1.0,memoise_reset,clip_2,0.5007,0.6328,0.5382,0.5382,314,0.0
embedding,,1.0,memoise_reset,clip_3,0.5005,0.5654,0.6337,0.6345,747,0.1
embedding,,1.0,track_majority,clip_1,0.5005,0.5273,0.562,0.562,137,0.0
embedding,,1.0,track_majority,clip_2,0.5007,0.5379,0.5127,0.5127,314,0.0
embedding,,1.0,track_majority,clip_3,0.5005,0.5277,0.5334,0.5341,747,0.1
embedding,,1.0,window_weighted,clip_1,0.5005,0.5433,0.6131,0.6131,137,0.0
embedding,,1.0,window_weighted,clip_2,0.5007,0.5616,0.5223,0.5223,314,0.0
embedding,,1.0,window_weighted,clip_3,0.5005,0.5499,0.5521,0.5529,747,0.1
